Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:50:37+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.13, 2.37, 2.58
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
BM_StdVectorAccess/1000000/iterations:30_cv                    0.12 %          0.04 %             3
BM_StdVectorAccess/10000000/iterations:30_mean              4026866 ns      4024167 ns            3
BM_StdVectorAccess/10000000/iterations:30_median            4037097 ns      4034967 ns            3
BM_StdVectorAccess/10000000/iterations:30_stddev              21176 ns        21537 ns            3
BM_StdVectorAccess/10000000/iterations:30_cv                   0.53 %          0.54 %             3
BM_ConstantVectorAccess/10/iterations:30_mean                  59.7 ns         77.8 ns            3
BM_ConstantVectorAccess/10/iterations:30_median                37.5 ns         66.7 ns            3
BM_ConstantVectorAccess/10/iterations:30_stddev                47.2 ns         50.9 ns            3
BM_ConstantVectorAccess/10/iterations:30_cv                   78.95 %         65.47 %             3
BM_ConstantVectorAccess/100/iterations:30_mean                  110 ns          122 ns            3
BM_ConstantVectorAccess/100/iterations:30_median                106 ns          100 ns            3
BM_ConstantVectorAccess/100/iterations:30_stddev               16.4 ns         38.5 ns            3
BM_ConstantVectorAccess/100/iterations:30_cv                  14.93 %         31.49 %             3
BM_ConstantVectorAccess/1000/iterations:30_mean                 961 ns          900 ns            3
BM_ConstantVectorAccess/1000/iterations:30_median               949 ns          967 ns            3
BM_ConstantVectorAccess/1000/iterations:30_stddev               174 ns          115 ns            3
BM_ConstantVectorAccess/1000/iterations:30_cv                 18.11 %         12.83 %             3
BM_ConstantVectorAccess/10000/iterations:30_mean               7622 ns         7622 ns            3
BM_ConstantVectorAccess/10000/iterations:30_median             7579 ns         7567 ns            3
BM_ConstantVectorAccess/10000/iterations:30_stddev             87.3 ns         96.2 ns            3
BM_ConstantVectorAccess/10000/iterations:30_cv                 1.15 %          1.26 %             3
BM_ConstantVectorAccess/100000/iterations:30_mean             78608 ns        78333 ns            3
BM_ConstantVectorAccess/100000/iterations:30_median           77949 ns        77933 ns            3
BM_ConstantVectorAccess/100000/iterations:30_stddev            2533 ns         2095 ns            3
BM_ConstantVectorAccess/100000/iterations:30_cv                3.22 %          2.68 %             3
BM_ConstantVectorAccess/1000000/iterations:30_mean           764983 ns       764367 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_median         764967 ns       763733 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_stddev           1338 ns         1335 ns            3
BM_ConstantVectorAccess/1000000/iterations:30_cv               0.17 %          0.17 %             3
BM_ConstantVectorAccess/10000000/iterations:30_mean         7688511 ns      7684433 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_median       7695188 ns      7690167 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_stddev         36758 ns        35482 ns            3
BM_ConstantVectorAccess/10000000/iterations:30_cv              0.48 %          0.46 %             3
BM_StdVectorIteration/10/iterations:30_mean                    51.8 ns         44.4 ns            3
BM_StdVectorIteration/10/iterations:30_median                  45.8 ns         33.3 ns            3
BM_StdVectorIteration/10/iterations:30_stddev                  19.5 ns         19.2 ns            3
BM_StdVectorIteration/10/iterations:30_cv                     37.55 %         43.30 %             3
BM_StdVectorIteration/100/iterations:30_mean                   39.8 ns         33.3 ns            3
BM_StdVectorIteration/100/iterations:30_median                 34.7 ns         33.3 ns            3
BM_StdVectorIteration/100/iterations:30_stddev                 13.9 ns         33.3 ns            3
BM_StdVectorIteration/100/iterations:30_cv                    34.92 %        100.00 %             3
BM_StdVectorIteration/1000/iterations:30_mean                  94.5 ns         88.9 ns            3
BM_StdVectorIteration/1000/iterations:30_median                94.5 ns        100.0 ns            3
BM_StdVectorIteration/1000/iterations:30_stddev                4.17 ns         19.2 ns            3
BM_StdVectorIteration/1000/iterations:30_cv                    4.41 %         21.65 %             3
BM_StdVectorIteration/10000/iterations:30_mean                  559 ns          567 ns            3
BM_StdVectorIteration/10000/iterations:30_median                549 ns          567 ns            3
BM_StdVectorIteration/10000/iterations:30_stddev               62.5 ns         33.3 ns            3
BM_StdVectorIteration/10000/iterations:30_cv                  11.18 %          5.88 %             3
BM_StdVectorIteration/100000/iterations:30_mean                5702 ns         5700 ns            3
BM_StdVectorIteration/100000/iterations:30_median              5647 ns         5633 ns            3
BM_StdVectorIteration/100000/iterations:30_stddev               108 ns          115 ns            3
BM_StdVectorIteration/100000/iterations:30_cv                  1.89 %          2.03 %             3
BM_StdVectorIteration/1000000/iterations:30_mean              56480 ns        56378 ns            3
BM_StdVectorIteration/1000000/iterations:30_median            56022 ns        56000 ns            3
BM_StdVectorIteration/1000000/iterations:30_stddev             1343 ns         1180 ns            3
BM_StdVectorIteration/1000000/iterations:30_cv                 2.38 %          2.09 %             3
BM_StdVectorIteration/10000000/iterations:30_mean            664979 ns       664822 ns            3
BM_StdVectorIteration/10000000/iterations:30_median          664201 ns       664167 ns            3
BM_StdVectorIteration/10000000/iterations:30_stddev           15678 ns        15460 ns            3
BM_StdVectorIteration/10000000/iterations:30_cv                2.36 %          2.33 %             3
BM_ConstantVectorIteration/10/iterations:30_mean               95.8 ns         88.9 ns            3
BM_ConstantVectorIteration/10/iterations:30_median             45.8 ns         66.7 ns            3
BM_ConstantVectorIteration/10/iterations:30_stddev             89.0 ns          102 ns            3
BM_ConstantVectorIteration/10/iterations:30_cv                92.89 %        114.56 %             3
BM_ConstantVectorIteration/100/iterations:30_mean              78.2 ns         77.8 ns            3
BM_ConstantVectorIteration/100/iterations:30_median            75.0 ns        100.0 ns            3
BM_ConstantVectorIteration/100/iterations:30_stddev            17.6 ns         38.5 ns            3
BM_ConstantVectorIteration/100/iterations:30_cv               22.49 %         49.49 %             3
BM_ConstantVectorIteration/1000/iterations:30_mean              521 ns          511 ns            3
BM_ConstantVectorIteration/1000/iterations:30_median            513 ns          500 ns            3
BM_ConstantVectorIteration/1000/iterations:30_stddev           14.4 ns         19.2 ns            3
BM_ConstantVectorIteration/1000/iterations:30_cv               2.77 %          3.77 %             3
BM_ConstantVectorIteration/10000/iterations:30_mean            4405 ns         4433 ns            3
BM_ConstantVectorIteration/10000/iterations:30_median          4357 ns         4400 ns            3
BM_ConstantVectorIteration/10000/iterations:30_stddev           112 ns          120 ns            3
BM_ConstantVectorIteration/10000/iterations:30_cv              2.55 %          2.71 %             3
BM_ConstantVectorIteration/100000/iterations:30_mean          45426 ns        45433 ns            3
BM_ConstantVectorIteration/100000/iterations:30_median        45774 ns        45767 ns            3
BM_ConstantVectorIteration/100000/iterations:30_stddev          919 ns          945 ns            3
BM_ConstantVectorIteration/100000/iterations:30_cv             2.02 %          2.08 %             3
BM_ConstantVectorIteration/1000000/iterations:30_mean        479209 ns       479222 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_median      479508 ns       479533 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_stddev        9772 ns         9804 ns            3
BM_ConstantVectorIteration/1000000/iterations:30_cv            2.04 %          2.05 %             3
BM_ConstantVectorIteration/10000000/iterations:30_mean      4917844 ns      4899944 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_median    4898462 ns      4898467 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_stddev      39331 ns         8810 ns            3
BM_ConstantVectorIteration/10000000/iterations:30_cv           0.80 %          0.18 %             3
